ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max
ABW,Aruba,8939.324999999999,3,16,28,88.89
AFG,Afghanistan,12910.560000000001,-1,29,48,84.26
AGO,Angola,12996.305,-43,7,7,90.74
AIA,Anguilla,7840.5599999999995,-59,-1,11,82.41
ALB,Albania,12770.485,-24,2,40,89.81
AND,Andorra,7495.175,11,37,37,56.48
ARE,United Arab Emirates,11171.69,-6,54,66,89.81
ARG,Argentina,16033.744999999999,-40,16,20,100
ARM,Armenia,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA
AUS,Australia,12207.96,-1,57,190,79.17
AUT,Austria,9440.83,-1,20,20,85.19
AZE,Azerbaijan,15094.015,-31,13,112,96.3
BDI,Burundi,2544.685,-59,NA,-9,13.89
BEL,Belgium,11686.475,-7,39,45,81.48
BEN,Benin,8742.425,-44,14,14,70.83
BFA,Burkina Faso,9991.745,2,11,55,89.81
BGD,Bangladesh,14349.265000000001,-47,11,34,93.52
BGR,Bulgaria,8965.955,-34,5,13,73.15
BHR,Bahrain,13210.495,-33,23,33,78.7
BHS,"Bahamas, The",NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,12302.53,-34,12,36,92.59
BLM,Saint Barthelemy,NA,NA,NA,NA,NA
BLR,Belarus,2126.225,15,NA,36,19.44
BLZ,Belize,12290.995,-34,-3,53,85.19
BMU,Bermuda,11520.31,-57,7,16,96.3
BOL,Bolivia,15602.245,-1,5,20,96.3
BRA,Brazil,13330.095,-28,20,69,81.02
BRB,Barbados,11869.575,-55,11,22,88.89
BRN,Brunei Darussalam,9541.22,-63,15,33,58.33
BTN,Bhutan,13482.55,-51,21,21,83.33
BWA,Botswana,11785.35,-89,-11,3,86.11
CAF,Central African Republic,10440.285,-1,11,54,75.93
CAN,Canada,11909.635,-4,52,66,74.54
CHE,Switzerland,9946.965,0,21,21,73.15
CHL,Chile,13241.02,20,24,131,89.35
CHN,China,16938.52,26,47,107,81.94
CIV,Cote d'Ivoire,9989.885,1,8,13,80.56
CMR,Cameroon,10351.515,7,12,43,71.3
COD,"Congo, Dem. Rep.",12047.855,-20,8,26,80.56
COG,"Congo, Rep.",12597.805,-12,13,16,97.22
COL,Colombia,14998.380000000001,-45,11,52,90.74
COM,Comoros,NA,NA,NA,NA,NA
CPV,Cabo Verde,12863.93,-44,3,43,87.96
CRI,Costa Rica,12780.405,-32,11,52,81.48
CUB,Cuba,13851.595,-44,12,60,100
CUW,Curacao,NA,NA,NA,NA,NA
CYM,Cayman Islands,9007.06,-49,10,34,94.44
CYP,Cyprus,11783.88,-4,7,38,94.44
CZE,Czechia,9510.385,-37,12,22,82.41
DEU,Germany,11501.89,-3,51,55,76.85
DJI,Djibouti,11047.455,0,4,5,100
DMA,Dominica,9536.315,0,10,10,79.63
DNK,Denmark,11306.84,0,15,20,72.22
DOM,Dominican Republic,14050.585000000001,1,18,58,97.22
DZA,Algeria,12956.775,9,27,49,92.13
ECU,Ecuador,14110.885,-35,14,16,93.52
EGY,"Egypt, Arab Rep.",12027.07,30,39,40,84.26
ERI,Eritrea,15066.41,-10,2,11,93.52
ESH,Western Sahara,NA,NA,NA,NA,NA
ESP,Spain,12268.81,-1,42,58,85.19
EST,Estonia,7584.49,14,27,31,77.78
ETH,Ethiopia,13092.02,-45,12,26,80.56
FIN,Finland,8522,-2,47,59,60.19
FJI,Fiji,12682.325,-57,0,11,88.89
FLK,Falkland Islands,7324.51,-19,-9,4,79.63
FRA,France,12026.76,-1,50,53,87.96
FRO,Faroe Islands,NA,NA,NA,NA,NA
GAB,Gabon,12748.545,-52,6,31,81.48
GBR,United Kingdom,12292.175,-11,51,53,79.63
GEO,Georgia,13790.789999999999,-29,17,34,100
GHA,Ghana,10164.66,-50,8,16,86.11
GIB,Gibraltar,10492.68,-33,13,20,79.63
GIN,Guinea,11894.94,-46,14,17,78.7
GLP,Guadeloupe,NA,NA,NA,NA,NA
GMB,"Gambia, The",12075.725,-39,3,10,78.7
GNB,Guinea-Bissau,NA,NA,NA,NA,NA
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA
GRC,Greece,11162.44,-1,17,26,84.26
GRD,Grenada,NA,NA,NA,NA,NA
GRL,Greenland,8456.555,-14,2,10,77.78
GTM,Guatemala,16456.03,-53,2,35,96.3
GUF,French Guiana,NA,NA,NA,NA,NA
GUY,Guyana,13760.425000000001,-54,16,28,87.04
HND,Honduras,16557.195,-9,5,10,100
HRV,Croatia,9986.21,-29,24,27,96.3
HTI,Haiti,11584.515,-45,-1,30,93.52
HUN,Hungary,10761.355,-5,8,24,76.85
IDN,Indonesia,12326.29,-59,27,53,80.09
IMN,Isle of Man,NA,NA,NA,NA,NA
IND,India,14660.15,-5,49,52,100
IRL,Ireland,11871.994999999999,-25,26,37,90.74
IRN,"Iran, Islamic Rep.",9949.03,1,29,145,64.35
IRQ,Iraq,16548.59,-5,1,31,96.3
ISL,Iceland,7982.6050000000005,-36,17,21,53.7
ISR,Israel,12815.14,-25,21,47,94.44
ITA,Italy,13321.935,-8,23,72,93.52
