ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max
ABW,Aruba,3223.5699999999997,2,16,36,86.24
AFG,Afghanistan,3242.035,6,30,48,76.33
AGO,Angola,3629.855,-43,7,7,93.38
AIA,Anguilla,NA,NA,NA,NA,NA
ALB,Albania,4362.55,-13,2,40,88.36
AND,Andorra,2487.74,11,23,37,61.77
ARE,United Arab Emirates,4188.735,-6,54,66,91.54
ARG,Argentina,4931.085,-40,16,20,100
ARM,Armenia,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA
AUS,Australia,3818.1,-1,57,63,71.44
AUT,Austria,4133.01,-1,17,20,84.79
AZE,Azerbaijan,4326.99,-31,13,46,92.86
BDI,Burundi,1201.76,-59,NA,14,22.22
BEL,Belgium,4393.41,-7,39,45,83.6
BEN,Benin,2751.9700000000003,-44,14,14,58.74
BFA,Burkina Faso,3783.245,2,11,13,88.75
BGD,Bangladesh,4590.9000000000005,-46,11,34,94.58
BGR,Bulgaria,4008.65,-34,5,24,75.52
BHR,Bahrain,4325.804999999999,-32,23,40,86.77
BHS,"Bahamas, The",NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,4655.2,-34,11,50,91.4
BLM,Saint Barthelemy,NA,NA,NA,NA,NA
BLR,Belarus,648.4050000000001,15,NA,36,19.44
BLZ,Belize,3057.29,-34,-3,35,73.42
BMU,Bermuda,4362.885,-57,1,16,97.35
BOL,Bolivia,4281.725,1,5,34,97.35
BRA,Brazil,3389.325,5,20,60,72.51
BRB,Barbados,4163.745,-55,2,22,90.47
BRN,Brunei Darussalam,3831.5950000000003,-63,4,33,60.71
BTN,Bhutan,3414.0699999999997,0,21,21,78.3
BWA,Botswana,4374.610000000001,-89,-11,3,87.04
CAF,Central African Republic,2617.255,-1,11,11,69.97
CAN,Canada,3525.2000000000003,-4,52,66,76.73
CHE,Switzerland,4104.469999999999,0,21,21,79.49
CHI,Channel Islands,NA,NA,NA,NA,NA
CHL,Chile,3357.79,11,15,22,83.6
CHN,China,6707.875,26,47,77,75.42
CIV,Cote d'Ivoire,3672.915,1,8,13,86.11
CMR,Cameroon,3058.77,7,12,43,76.32
COD,"Congo, Dem. Rep.",3545.4300000000003,-20,8,17,85.85
COG,"Congo, Rep.",3513.04,-12,13,16,98.02
COL,Colombia,4463.1,-45,11,52,93.38
CPV,Cabo Verde,3736.6949999999997,-44,3,12,79.63
CRI,Costa Rica,4014.695,-32,10,52,81.61
CUB,Cuba,3571.815,-44,12,36,83.07
CUW,Curacao,NA,NA,NA,NA,NA
CYM,Cayman Islands,NA,NA,NA,NA,NA
CYP,Cyprus,4222.76,-4,7,15,94.71
CZE,Czechia,4445,-37,11,22,83.07
DEU,Germany,4306.315,-3,51,70,81.75
DJI,Djibouti,3890.14,0,5,38,100
DMA,Dominica,2805.21,0,10,10,86.24
DNK,Denmark,4427.885,0,13,20,84.12
DOM,Dominican Republic,4166.59,1,18,58,98.02
DZA,Algeria,3577.51,9,27,49,84.54
ECU,Ecuador,4974.495,-35,14,16,95.37
EGY,"Egypt, Arab Rep.",3640.305,30,36,39,88.75
ERI,Eritrea,NA,NA,NA,NA,NA
ESH,Western Sahara,NA,NA,NA,NA,NA
ESP,Spain,4680.2249999999995,-1,42,58,89.41
EST,Estonia,3573.09,14,18,31,80.29
ETH,Ethiopia,2932.855,3,13,26,76.19
FIN,Finland,4242.455,-2,47,59,75.13
FJI,Fiji,NA,NA,NA,NA,NA
FLK,Falkland Islands,NA,NA,NA,NA,NA
FRA,France,5052.78,-1,52,93,93.38
FRO,Faroe Islands,NA,NA,NA,NA,NA
GAB,Gabon,3897.055,-52,6,27,80.42
GBR,United Kingdom,3703.765,2,52,55,79.63
GEO,Georgia,5496.43,-29,17,34,100
GHA,Ghana,3393.825,-50,3,16,85.85
GIB,Gibraltar,NA,NA,NA,NA,NA
GIN,Guinea,NA,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA
GMB,"Gambia, The",3870.8,-39,1,11,84.78
GNB,Guinea-Bissau,NA,NA,NA,NA,NA
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA
GRC,Greece,4401.389999999999,-1,17,26,87.96
GRD,Grenada,NA,NA,NA,NA,NA
GRL,Greenland,3821.155,-14,2,33,83.73
GTM,Guatemala,5055.985,-53,2,35,97.35
GUF,French Guiana,NA,NA,NA,NA,NA
GUY,Guyana,4103.8,-54,14,28,93.38
HND,Honduras,4747.74,-9,5,10,100
HRV,Croatia,4856.29,-29,24,27,97.35
HTI,Haiti,NA,NA,NA,NA,NA
HUN,Hungary,3949.54,-5,7,24,78.44
IDN,Indonesia,4256.91,-59,24,53,74.88
IMN,Isle of Man,NA,NA,NA,NA,NA
IND,India,4775.4349999999995,-4,48,52,100
IRL,Ireland,4192.665,-25,15,37,91.8
IRN,"Iran, Islamic Rep.",3327.115,1,32,46,65.34
IRQ,Iraq,5464.455,-5,3,31,97.35
ISL,Iceland,3408.055,-36,17,21,56.61
ISR,Israel,5162.825,-25,21,47,96.03
ITA,Italy,6324.17,-8,23,72,94.58
JAM,Jamaica,4512.275,-40,2,47,85.31
JOR,Jordan,4507.65,0,15,15,100
JPN,Japan,3729.29,-8,54,79,53.3
KAZ,Kazakhstan,3727.08,-1,5,17,84.14
KEN,Kenya,4230.095,-53,2,44,93.66
KGZ,Kyrgyz Republic,4671.195,-56,-1,7,87.31
KHM,Cambodia,NA,NA,NA,NA,NA
KNA,St. Kitts and Nevis,NA,NA,NA,NA,NA
KOR,"Korea, Rep.",5196.23,11,34,77,83.46
KWT,Kuwait,4903.495,-32,16,63,91.01
LAO,Lao PDR,3546.355,-13,6,6,97.35
LBN,Lebanon,4663.6849999999995,-8,24,26,89.41
LBR,Liberia,3269.9950000000003,-2,6,27,80.29
LBY,Libya,4059.915,-10,-8,24,100
LCA,St. Lucia,NA,NA,NA,NA,NA
LIE,Liechtenstein,NA,NA,NA,NA,NA
LKA,Sri Lanka,4759.9749999999995,-1,47,61,100
LTU,Lithuania,NA,NA,NA,NA,NA
LUX,Luxembourg,3974.3599999999997,5,15,17,82.27
LVA,Latvia,NA,NA,NA,NA,NA
MAF,St. Martin (French part),NA,NA,NA,NA,NA
MAR,Morocco,4156.66,2,18,23,93.38
MCO,Monaco,NA,NA,NA,NA,NA
MDA,Moldova,4258.68,-13,3,16,90.74
MDG,Madagascar,3580.005,-5,1,16,94.84
MDV,Maldives,NA,NA,NA,NA,NA
MEX,Mexico,3169.0750000000003,0,25,31,85.45
MKD,North Macedonia,NA,NA,NA,NA,NA
MLI,Mali,2925.365,-7,0,0,76.19
MLT,Malta,NA,NA,NA,NA,NA
MMR,Myanmar,4022.93,-81,-1,21,85.06
MNE,Montenegro,NA,NA,NA,NA,NA
MNG,Mongolia,5939.65,-69,-43,26,67.99
MOZ,Mozambique,2489.955,-40,6,10,53.83
MRT,Mauritania,3599.545,-38,5,15,80.95
MSR,Montserrat,NA,NA,NA,NA,NA
MTQ,Martinique,NA,NA,NA,NA,NA
MUS,Mauritius,3564.9,0,2,31,91.4
MWI,Malawi,2461.805,-51,-10,16,56.61
MYS,Malaysia,4288.275,-9,53,53,71.03
MYT,Mayotte,NA,NA,NA,NA,NA
NAM,Namibia,3003.335,-13,3,34,75.79
NCL,New Caledonia,NA,NA,NA,NA,NA
NER,Niger,2651.4449999999997,-7,0,8,61.51
NGA,Nigeria,4419.805,-58,29,60,81.5
NIC,Nicaragua,805.5050000000001,-27,NA,27,16.67
NLD,Netherlands,3972.0950000000003,8,17,33,84.65
NOR,Norway,4180.6449999999995,-26,15,27,79.63
NPL,Nepal,4737.304999999999,-24,57,59,95.24
NZL,New Zealand,4739.014999999999,-26,22,27,97.35
OMN,Oman,4890.575,-35,22,46,94.71
PAK,Pakistan,4841.19,-26,16,29,97.35
PAN,Panama,4205.59,-49,6,39,83.6
PER,Peru,4683.245,-1,8,12,96.03
PHL,Philippines,5688.72,-6,45,48,97.22
PNG,Papua New Guinea,3646.68,-53,4,29,83.07
POL,Poland,4181.355,-41,10,36,88.09
PRT,Portugal,4495.52,-36,17,38,90.61
PRY,Paraguay,5095.655,-45,5,32,96.03
PSE,West Bank and Gaza,5192.735000000001,-12,0,54,97.35
PYF,French Polynesia,NA,NA,NA,NA,NA
QAT,Qatar,4802.17,-36,17,28,91.54
